=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
Setting cpu: 20
Setting cpu: 21
Setting cpu: 22
Setting cpu: 23
Setting cpu: 24
Setting cpu: 25
Setting cpu: 26
Setting cpu: 27
Setting cpu: 28
Setting cpu: 29
Setting cpu: 30
Setting cpu: 31
Setting cpu: 32
Setting cpu: 33
Setting cpu: 34
Setting cpu: 35
Setting cpu: 36
Setting cpu: 37
Setting cpu: 38
Setting cpu: 39
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: skylake_c220g5) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [1/1638] SKIP t=8 m=0 w=0
  [134/1638] t=32 m=30 w=0 | elapsed=4005s eta=45289s
  [135/1638] t=32 m=40 w=0 | elapsed=4035s eta=45258s
  [136/1638] t=32 m=50 w=0 | elapsed=4065s eta=45226s
  [137/1638] t=32 m=60 w=0 | elapsed=4095s eta=45195s
  [138/1638] t=32 m=70 w=0 | elapsed=4125s eta=45164s
  [139/1638] t=32 m=80 w=0 | elapsed=4156s eta=45143s
  [140/1638] t=32 m=90 w=0 | elapsed=4186s eta=45112s
  [141/1638] t=32 m=100 w=0 | elapsed=4216s eta=45081s
  [142/1638] t=32 m=150 w=0 | elapsed=4246s eta=45049s
  [143/1638] t=32 m=200 w=0 | elapsed=4276s eta=45018s
  [144/1638] t=32 m=250 w=0 | elapsed=4306s eta=44987s
  [145/1638] t=32 m=300 w=0 | elapsed=4336s eta=44955s
  [146/1638] t=32 m=400 w=0 | elapsed=4366s eta=44924s
  [147/1638] t=32 m=500 w=0 | elapsed=4397s eta=44903s
  [148/1638] t=32 m=700 w=0 | elapsed=4427s eta=44872s
  [149/1638] t=32 m=1000 w=0 | elapsed=4457s eta=44841s
  [150/1638] t=32 m=2000 w=0 | elapsed=4487s eta=44809s
  [151/1638] t=32 m=3000 w=0 | elapsed=4517s eta=44778s
  [152/1638] t=32 m=5000 w=0 | elapsed=4547s eta=44747s
  [153/1638] t=32 m=7000 w=0 | elapsed=4577s eta=44716s
  [154/1638] t=32 m=10000 w=0 | elapsed=4607s eta=44684s
  [155/1638] t=32 m=20000 w=0 | elapsed=4638s eta=44663s
  [156/1638] t=32 m=50000 w=0 | elapsed=4668s eta=44632s
--- w=0ns, rep=3/3 ---
  [157/1638] t=8 m=0 w=0 | elapsed=4698s eta=44600s
  [158/1638] t=8 m=10 w=0 | elapsed=4728s eta=44569s
  [159/1638] t=8 m=20 w=0 | elapsed=4758s eta=44538s
  [160/1638] t=8 m=30 w=0 | elapsed=4788s eta=44507s
  [161/1638] t=8 m=40 w=0 | elapsed=4818s eta=44476s
  [162/1638] t=8 m=50 w=0 | elapsed=4848s eta=44445s
  [163/1638] t=8 m=60 w=0 | elapsed=4878s eta=44413s
  [164/1638] t=8 m=70 w=0 | elapsed=4909s eta=44391s
  [165/1638] t=8 m=80 w=0 | elapsed=4939s eta=44360s
  [166/1638] t=8 m=90 w=0 | elapsed=4969s eta=44329s
  [167/1638] t=8 m=100 w=0 | elapsed=4999s eta=44298s
  [168/1638] t=8 m=150 w=0 | elapsed=5029s eta=44267s
  [169/1638] t=8 m=200 w=0 | elapsed=5059s eta=44236s
  [170/1638] t=8 m=250 w=0 | elapsed=5089s eta=44205s
  [171/1638] t=8 m=300 w=0 | elapsed=5119s eta=44173s
  [172/1638] t=8 m=400 w=0 | elapsed=5149s eta=44142s
  [173/1638] t=8 m=500 w=0 | elapsed=5180s eta=44120s
  [174/1638] t=8 m=700 w=0 | elapsed=5210s eta=44089s
  [175/1638] t=8 m=1000 w=0 | elapsed=5240s eta=44058s
  [176/1638] t=8 m=2000 w=0 | elapsed=5270s eta=44027s
  [177/1638] t=8 m=3000 w=0 | elapsed=5300s eta=43996s
  [178/1638] t=8 m=5000 w=0 | elapsed=5330s eta=43964s
  [179/1638] t=8 m=7000 w=0 | elapsed=5360s eta=43933s
  [180/1638] t=8 m=10000 w=0 | elapsed=5390s eta=43902s
  [181/1638] t=8 m=20000 w=0 | elapsed=5420s eta=43871s
  [182/1638] t=8 m=50000 w=0 | elapsed=5451s eta=43848s
  [183/1638] t=16 m=0 w=0 | elapsed=5481s eta=43817s
  [184/1638] t=16 m=10 w=0 | elapsed=5511s eta=43786s
  [185/1638] t=16 m=20 w=0 | elapsed=5541s eta=43755s
  [186/1638] t=16 m=30 w=0 | elapsed=5571s eta=43724s
  [187/1638] t=16 m=40 w=0 | elapsed=5601s eta=43693s
  [188/1638] t=16 m=50 w=0 | elapsed=5631s eta=43662s
  [189/1638] t=16 m=60 w=0 | elapsed=5661s eta=43631s
  [190/1638] t=16 m=70 w=0 | elapsed=5691s eta=43600s
  [191/1638] t=16 m=80 w=0 | elapsed=5722s eta=43577s
  [192/1638] t=16 m=90 w=0 | elapsed=5752s eta=43546s
  [193/1638] t=16 m=100 w=0 | elapsed=5782s eta=43515s
  [194/1638] t=16 m=150 w=0 | elapsed=5812s eta=43484s
  [195/1638] t=16 m=200 w=0 | elapsed=5842s eta=43453s
  [196/1638] t=16 m=250 w=0 | elapsed=5872s eta=43422s
  [197/1638] t=16 m=300 w=0 | elapsed=5902s eta=43391s
  [198/1638] t=16 m=400 w=0 | elapsed=5932s eta=43360s
  [199/1638] t=16 m=500 w=0 | elapsed=5962s eta=43329s
  [200/1638] t=16 m=700 w=0 | elapsed=5993s eta=43306s
  [201/1638] t=16 m=1000 w=0 | elapsed=6023s eta=43275s
  [202/1638] t=16 m=2000 w=0 | elapsed=6053s eta=43244s
  [203/1638] t=16 m=3000 w=0 | elapsed=6083s eta=43213s
  [204/1638] t=16 m=5000 w=0 | elapsed=6113s eta=43182s
  [205/1638] t=16 m=7000 w=0 | elapsed=6143s eta=43151s
  [206/1638] t=16 m=10000 w=0 | elapsed=6173s eta=43120s
  [207/1638] t=16 m=20000 w=0 | elapsed=6203s eta=43089s
  [208/1638] t=16 m=50000 w=0 | elapsed=6233s eta=43058s
  [209/1638] t=32 m=0 w=0 | elapsed=6264s eta=43034s
  [210/1638] t=32 m=10 w=0 | elapsed=6294s eta=43003s
  [211/1638] t=32 m=20 w=0 | elapsed=6324s eta=42973s
  [212/1638] t=32 m=30 w=0 | elapsed=6354s eta=42942s
  [213/1638] t=32 m=40 w=0 | elapsed=6384s eta=42911s
  [214/1638] t=32 m=50 w=0 | elapsed=6414s eta=42880s
  [215/1638] t=32 m=60 w=0 | elapsed=6444s eta=42849s
  [216/1638] t=32 m=70 w=0 | elapsed=6474s eta=42818s
  [217/1638] t=32 m=80 w=0 | elapsed=6505s eta=42794s
  [218/1638] t=32 m=90 w=0 | elapsed=6535s eta=42763s
  [219/1638] t=32 m=100 w=0 | elapsed=6565s eta=42732s
  [220/1638] t=32 m=150 w=0 | elapsed=6595s eta=42701s
  [221/1638] t=32 m=200 w=0 | elapsed=6625s eta=42671s
  [222/1638] t=32 m=250 w=0 | elapsed=6655s eta=42640s
  [223/1638] t=32 m=300 w=0 | elapsed=6685s eta=42609s
  [224/1638] t=32 m=400 w=0 | elapsed=6715s eta=42578s
  [225/1638] t=32 m=500 w=0 | elapsed=6745s eta=42547s
  [226/1638] t=32 m=700 w=0 | elapsed=6776s eta=42523s
  [227/1638] t=32 m=1000 w=0 | elapsed=6806s eta=42492s
  [228/1638] t=32 m=2000 w=0 | elapsed=6836s eta=42461s
  [229/1638] t=32 m=3000 w=0 | elapsed=6866s eta=42430s
  [230/1638] t=32 m=5000 w=0 | elapsed=6896s eta=42399s
  [231/1638] t=32 m=7000 w=0 | elapsed=6926s eta=42369s
  [232/1638] t=32 m=10000 w=0 | elapsed=6956s eta=42338s
  [233/1638] t=32 m=20000 w=0 | elapsed=6986s eta=42307s
  [234/1638] t=32 m=50000 w=0 | elapsed=7017s eta=42282s
--- w=100ns, rep=1/3 ---
  [235/1638] t=8 m=0 w=100 | elapsed=7047s eta=42251s
  [236/1638] t=8 m=10 w=100 | elapsed=7077s eta=42221s
  [237/1638] t=8 m=20 w=100 | elapsed=7107s eta=42190s
  [238/1638] t=8 m=30 w=100 | elapsed=7137s eta=42159s
  [239/1638] t=8 m=40 w=100 | elapsed=7167s eta=42128s
  [240/1638] t=8 m=50 w=100 | elapsed=7197s eta=42097s
  [241/1638] t=8 m=60 w=100 | elapsed=7227s eta=42067s
  [242/1638] t=8 m=70 w=100 | elapsed=7257s eta=42036s
  [243/1638] t=8 m=80 w=100 | elapsed=7288s eta=42011s
  [244/1638] t=8 m=90 w=100 | elapsed=7318s eta=41980s
  [245/1638] t=8 m=100 w=100 | elapsed=7348s eta=41949s
  [246/1638] t=8 m=150 w=100 | elapsed=7378s eta=41919s
  [247/1638] t=8 m=200 w=100 | elapsed=7408s eta=41888s
  [248/1638] t=8 m=250 w=100 | elapsed=7438s eta=41857s
  [249/1638] t=8 m=300 w=100 | elapsed=7468s eta=41826s
  [250/1638] t=8 m=400 w=100 | elapsed=7498s eta=41796s
  [251/1638] t=8 m=500 w=100 | elapsed=7528s eta=41765s
  [252/1638] t=8 m=700 w=100 | elapsed=7559s eta=41740s
  [253/1638] t=8 m=1000 w=100 | elapsed=7589s eta=41709s
  [254/1638] t=8 m=2000 w=100 | elapsed=7619s eta=41678s
  [255/1638] t=8 m=3000 w=100 | elapsed=7649s eta=41647s
  [256/1638] t=8 m=5000 w=100 | elapsed=7679s eta=41617s
  [257/1638] t=8 m=7000 w=100 | elapsed=7709s eta=41586s
  [258/1638] t=8 m=10000 w=100 | elapsed=7739s eta=41555s
  [259/1638] t=8 m=20000 w=100 | elapsed=7769s eta=41525s
  [260/1638] t=8 m=50000 w=100 | elapsed=7799s eta=41494s
  [261/1638] t=16 m=0 w=100 | elapsed=7830s eta=41468s
  [262/1638] t=16 m=10 w=100 | elapsed=7860s eta=41438s
  [263/1638] t=16 m=20 w=100 | elapsed=7890s eta=41407s
  [264/1638] t=16 m=30 w=100 | elapsed=7920s eta=41376s
  [265/1638] t=16 m=40 w=100 | elapsed=7950s eta=41346s
  [266/1638] t=16 m=50 w=100 | elapsed=7980s eta=41315s
  [267/1638] t=16 m=60 w=100 | elapsed=8010s eta=41284s
  [268/1638] t=16 m=70 w=100 | elapsed=8040s eta=41253s
  [269/1638] t=16 m=80 w=100 | elapsed=8070s eta=41223s
  [270/1638] t=16 m=90 w=100 | elapsed=8101s eta=41197s
  [271/1638] t=16 m=100 w=100 | elapsed=8131s eta=41166s
  [272/1638] t=16 m=150 w=100 | elapsed=8161s eta=41136s
  [273/1638] t=16 m=200 w=100 | elapsed=8191s eta=41105s
  [274/1638] t=16 m=250 w=100 | elapsed=8221s eta=41074s
  [275/1638] t=16 m=300 w=100 | elapsed=8251s eta=41044s
