=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
Setting cpu: 20
Setting cpu: 21
Setting cpu: 22
Setting cpu: 23
Setting cpu: 24
Setting cpu: 25
Setting cpu: 26
Setting cpu: 27
Setting cpu: 28
Setting cpu: 29
Setting cpu: 30
Setting cpu: 31
Setting cpu: 32
Setting cpu: 33
Setting cpu: 34
Setting cpu: 35
Setting cpu: 36
Setting cpu: 37
Setting cpu: 38
Setting cpu: 39
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: ivy_c8220) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [127/1638] t=16 m=7000 w=0 | elapsed=3824s eta=45496s
  [128/1638] t=16 m=10000 w=0 | elapsed=3854s eta=45465s
  [129/1638] t=16 m=20000 w=0 | elapsed=3884s eta=45433s
  [130/1638] t=16 m=50000 w=0 | elapsed=3914s eta=45402s
  [131/1638] t=32 m=0 w=0 | elapsed=3944s eta=45371s
  [132/1638] t=32 m=10 w=0 | elapsed=3974s eta=45339s
  [133/1638] t=32 m=20 w=0 | elapsed=4004s eta=45308s
  [134/1638] t=32 m=30 w=0 | elapsed=4034s eta=45277s
  [135/1638] t=32 m=40 w=0 | elapsed=4064s eta=45245s
  [136/1638] t=32 m=50 w=0 | elapsed=4095s eta=45225s
  [137/1638] t=32 m=60 w=0 | elapsed=4125s eta=45194s
  [138/1638] t=32 m=70 w=0 | elapsed=4155s eta=45163s
  [139/1638] t=32 m=80 w=0 | elapsed=4185s eta=45131s
  [140/1638] t=32 m=90 w=0 | elapsed=4215s eta=45100s
  [141/1638] t=32 m=100 w=0 | elapsed=4245s eta=45069s
  [142/1638] t=32 m=150 w=0 | elapsed=4275s eta=45038s
  [143/1638] t=32 m=200 w=0 | elapsed=4305s eta=45006s
  [144/1638] t=32 m=250 w=0 | elapsed=4335s eta=44975s
  [145/1638] t=32 m=300 w=0 | elapsed=4366s eta=44954s
  [146/1638] t=32 m=400 w=0 | elapsed=4396s eta=44923s
  [147/1638] t=32 m=500 w=0 | elapsed=4426s eta=44892s
  [148/1638] t=32 m=700 w=0 | elapsed=4456s eta=44861s
  [149/1638] t=32 m=1000 w=0 | elapsed=4486s eta=44829s
  [150/1638] t=32 m=2000 w=0 | elapsed=4516s eta=44798s
  [151/1638] t=32 m=3000 w=0 | elapsed=4546s eta=44767s
  [152/1638] t=32 m=5000 w=0 | elapsed=4576s eta=44736s
  [153/1638] t=32 m=7000 w=0 | elapsed=4606s eta=44705s
  [154/1638] t=32 m=10000 w=0 | elapsed=4637s eta=44683s
  [155/1638] t=32 m=20000 w=0 | elapsed=4667s eta=44652s
  [156/1638] t=32 m=50000 w=0 | elapsed=4697s eta=44621s
--- w=0ns, rep=3/3 ---
  [157/1638] t=8 m=0 w=0 | elapsed=4727s eta=44590s
  [158/1638] t=8 m=10 w=0 | elapsed=4757s eta=44559s
  [159/1638] t=8 m=20 w=0 | elapsed=4787s eta=44528s
  [160/1638] t=8 m=30 w=0 | elapsed=4817s eta=44497s
  [161/1638] t=8 m=40 w=0 | elapsed=4847s eta=44465s
  [162/1638] t=8 m=50 w=0 | elapsed=4877s eta=44434s
  [163/1638] t=8 m=60 w=0 | elapsed=4908s eta=44412s
  [164/1638] t=8 m=70 w=0 | elapsed=4938s eta=44381s
  [165/1638] t=8 m=80 w=0 | elapsed=4968s eta=44350s
  [166/1638] t=8 m=90 w=0 | elapsed=4998s eta=44319s
  [167/1638] t=8 m=100 w=0 | elapsed=5028s eta=44288s
  [168/1638] t=8 m=150 w=0 | elapsed=5058s eta=44257s
  [169/1638] t=8 m=200 w=0 | elapsed=5088s eta=44226s
  [170/1638] t=8 m=250 w=0 | elapsed=5118s eta=44195s
  [171/1638] t=8 m=300 w=0 | elapsed=5148s eta=44164s
  [172/1638] t=8 m=400 w=0 | elapsed=5179s eta=44141s
  [173/1638] t=8 m=500 w=0 | elapsed=5209s eta=44110s
  [174/1638] t=8 m=700 w=0 | elapsed=5239s eta=44079s
  [175/1638] t=8 m=1000 w=0 | elapsed=5269s eta=44048s
  [176/1638] t=8 m=2000 w=0 | elapsed=5299s eta=44017s
  [177/1638] t=8 m=3000 w=0 | elapsed=5329s eta=43986s
  [178/1638] t=8 m=5000 w=0 | elapsed=5359s eta=43955s
  [179/1638] t=8 m=7000 w=0 | elapsed=5389s eta=43924s
  [180/1638] t=8 m=10000 w=0 | elapsed=5419s eta=43893s
  [181/1638] t=8 m=20000 w=0 | elapsed=5450s eta=43870s
  [182/1638] t=8 m=50000 w=0 | elapsed=5480s eta=43840s
  [183/1638] t=16 m=0 w=0 | elapsed=5510s eta=43809s
  [184/1638] t=16 m=10 w=0 | elapsed=5540s eta=43778s
  [185/1638] t=16 m=20 w=0 | elapsed=5570s eta=43747s
  [186/1638] t=16 m=30 w=0 | elapsed=5600s eta=43716s
  [187/1638] t=16 m=40 w=0 | elapsed=5630s eta=43685s
