=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Following CPUs are offline:
8-15
cpupower set operation was not performed on them
  governor: performance
  WARNING: could not disable turbo/boost

=== Experiment (Server: skylake_ann) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [123/1638] t=16 m=1000 w=0 | elapsed=3704s eta=45622s
  [124/1638] t=16 m=2000 w=0 | elapsed=3734s eta=45590s
  [125/1638] t=16 m=3000 w=0 | elapsed=3764s eta=45559s
  [126/1638] t=16 m=5000 w=0 | elapsed=3795s eta=45540s
  [127/1638] t=16 m=7000 w=0 | elapsed=3825s eta=45508s
  [128/1638] t=16 m=10000 w=0 | elapsed=3855s eta=45476s
  [129/1638] t=16 m=20000 w=0 | elapsed=3885s eta=45445s
  [130/1638] t=16 m=50000 w=0 | elapsed=3915s eta=45414s
  [131/1638] t=32 m=0 w=0 | elapsed=3945s eta=45382s
  [132/1638] t=32 m=10 w=0 | elapsed=3975s eta=45351s
  [133/1638] t=32 m=20 w=0 | elapsed=4005s eta=45319s
  [134/1638] t=32 m=30 w=0 | elapsed=4035s eta=45288s
  [135/1638] t=32 m=40 w=0 | elapsed=4066s eta=45268s
  [136/1638] t=32 m=50 w=0 | elapsed=4096s eta=45236s
  [137/1638] t=32 m=60 w=0 | elapsed=4126s eta=45205s
  [138/1638] t=32 m=70 w=0 | elapsed=4156s eta=45173s
  [139/1638] t=32 m=80 w=0 | elapsed=4186s eta=45142s
  [140/1638] t=32 m=90 w=0 | elapsed=4216s eta=45111s
  [141/1638] t=32 m=100 w=0 | elapsed=4246s eta=45079s
  [142/1638] t=32 m=150 w=0 | elapsed=4276s eta=45048s
  [143/1638] t=32 m=200 w=0 | elapsed=4307s eta=45027s
  [144/1638] t=32 m=250 w=0 | elapsed=4337s eta=44996s
  [145/1638] t=32 m=300 w=0 | elapsed=4367s eta=44965s
  [146/1638] t=32 m=400 w=0 | elapsed=4397s eta=44933s
  [147/1638] t=32 m=500 w=0 | elapsed=4427s eta=44902s
  [148/1638] t=32 m=700 w=0 | elapsed=4457s eta=44871s
  [149/1638] t=32 m=1000 w=0 | elapsed=4487s eta=44839s
  [150/1638] t=32 m=2000 w=0 | elapsed=4517s eta=44808s
  [151/1638] t=32 m=3000 w=0 | elapsed=4547s eta=44777s
  [152/1638] t=32 m=5000 w=0 | elapsed=4578s eta=44755s
  [153/1638] t=32 m=7000 w=0 | elapsed=4608s eta=44724s
  [154/1638] t=32 m=10000 w=0 | elapsed=4638s eta=44693s
  [155/1638] t=32 m=20000 w=0 | elapsed=4668s eta=44662s
  [156/1638] t=32 m=50000 w=0 | elapsed=4698s eta=44631s
--- w=0ns, rep=3/3 ---
  [157/1638] t=8 m=0 w=0 | elapsed=4728s eta=44599s
  [158/1638] t=8 m=10 w=0 | elapsed=4758s eta=44568s
  [159/1638] t=8 m=20 w=0 | elapsed=4788s eta=44537s
  [160/1638] t=8 m=30 w=0 | elapsed=4819s eta=44515s
  [161/1638] t=8 m=40 w=0 | elapsed=4849s eta=44484s
  [162/1638] t=8 m=50 w=0 | elapsed=4879s eta=44453s
  [163/1638] t=8 m=60 w=0 | elapsed=4909s eta=44421s
  [164/1638] t=8 m=70 w=0 | elapsed=4939s eta=44390s
  [165/1638] t=8 m=80 w=0 | elapsed=4969s eta=44359s
  [166/1638] t=8 m=90 w=0 | elapsed=4999s eta=44328s
  [167/1638] t=8 m=100 w=0 | elapsed=5029s eta=44297s
  [168/1638] t=8 m=150 w=0 | elapsed=5059s eta=44266s
  [169/1638] t=8 m=200 w=0 | elapsed=5090s eta=44243s
  [170/1638] t=8 m=250 w=0 | elapsed=5120s eta=44212s
  [171/1638] t=8 m=300 w=0 | elapsed=5150s eta=44181s
  [172/1638] t=8 m=400 w=0 | elapsed=5180s eta=44150s
  [173/1638] t=8 m=500 w=0 | elapsed=5210s eta=44119s
  [174/1638] t=8 m=700 w=0 | elapsed=5240s eta=44088s
  [175/1638] t=8 m=1000 w=0 | elapsed=5270s eta=44057s
  [176/1638] t=8 m=2000 w=0 | elapsed=5300s eta=44026s
  [177/1638] t=8 m=3000 w=0 | elapsed=5330s eta=43995s
  [178/1638] t=8 m=5000 w=0 | elapsed=5361s eta=43972s
  [179/1638] t=8 m=7000 w=0 | elapsed=5391s eta=43941s
  [180/1638] t=8 m=10000 w=0 | elapsed=5421s eta=43910s
  [181/1638] t=8 m=20000 w=0 | elapsed=5451s eta=43879s
  [182/1638] t=8 m=50000 w=0 | elapsed=5481s eta=43848s
  [183/1638] t=16 m=0 w=0 | elapsed=5511s eta=43816s
  [184/1638] t=16 m=10 w=0 | elapsed=5541s eta=43785s
  [185/1638] t=16 m=20 w=0 | elapsed=5571s eta=43754s
  [186/1638] t=16 m=30 w=0 | elapsed=5601s eta=43723s
  [187/1638] t=16 m=40 w=0 | elapsed=5632s eta=43700s
  [188/1638] t=16 m=50 w=0 | elapsed=5662s eta=43669s
  [189/1638] t=16 m=60 w=0 | elapsed=5692s eta=43638s
  [190/1638] t=16 m=70 w=0 | elapsed=5722s eta=43607s
  [191/1638] t=16 m=80 w=0 | elapsed=5752s eta=43576s
  [192/1638] t=16 m=90 w=0 | elapsed=5782s eta=43545s
  [193/1638] t=16 m=100 w=0 | elapsed=5812s eta=43514s
  [194/1638] t=16 m=150 w=0 | elapsed=5842s eta=43483s
  [195/1638] t=16 m=200 w=0 | elapsed=5872s eta=43452s
  [196/1638] t=16 m=250 w=0 | elapsed=5903s eta=43429s
  [197/1638] t=16 m=300 w=0 | elapsed=5933s eta=43398s
  [198/1638] t=16 m=400 w=0 | elapsed=5963s eta=43367s
  [199/1638] t=16 m=500 w=0 | elapsed=5993s eta=43336s
  [200/1638] t=16 m=700 w=0 | elapsed=6023s eta=43305s
  [201/1638] t=16 m=1000 w=0 | elapsed=6053s eta=43274s
  [202/1638] t=16 m=2000 w=0 | elapsed=6083s eta=43243s
  [203/1638] t=16 m=3000 w=0 | elapsed=6113s eta=43212s
  [204/1638] t=16 m=5000 w=0 | elapsed=6143s eta=43181s
  [205/1638] t=16 m=7000 w=0 | elapsed=6174s eta=43157s
  [206/1638] t=16 m=10000 w=0 | elapsed=6204s eta=43126s
  [207/1638] t=16 m=20000 w=0 | elapsed=6234s eta=43095s
  [208/1638] t=16 m=50000 w=0 | elapsed=6264s eta=43065s
  [209/1638] t=32 m=0 w=0 | elapsed=6294s eta=43034s
  [210/1638] t=32 m=10 w=0 | elapsed=6324s eta=43003s
  [211/1638] t=32 m=20 w=0 | elapsed=6354s eta=42972s
  [212/1638] t=32 m=30 w=0 | elapsed=6384s eta=42941s
  [213/1638] t=32 m=40 w=0 | elapsed=6414s eta=42910s
  [214/1638] t=32 m=50 w=0 | elapsed=6445s eta=42886s
  [215/1638] t=32 m=60 w=0 | elapsed=6475s eta=42855s
  [216/1638] t=32 m=70 w=0 | elapsed=6505s eta=42824s
  [217/1638] t=32 m=80 w=0 | elapsed=6535s eta=42793s
  [218/1638] t=32 m=90 w=0 | elapsed=6565s eta=42762s
  [219/1638] t=32 m=100 w=0 | elapsed=6595s eta=42731s
  [220/1638] t=32 m=150 w=0 | elapsed=6625s eta=42701s
  [221/1638] t=32 m=200 w=0 | elapsed=6655s eta=42670s
  [222/1638] t=32 m=250 w=0 | elapsed=6685s eta=42639s
  [223/1638] t=32 m=300 w=0 | elapsed=6716s eta=42614s
  [224/1638] t=32 m=400 w=0 | elapsed=6746s eta=42584s
  [225/1638] t=32 m=500 w=0 | elapsed=6776s eta=42553s
  [226/1638] t=32 m=700 w=0 | elapsed=6806s eta=42522s
  [227/1638] t=32 m=1000 w=0 | elapsed=6836s eta=42491s
  [228/1638] t=32 m=2000 w=0 | elapsed=6866s eta=42460s
  [229/1638] t=32 m=3000 w=0 | elapsed=6896s eta=42429s
  [230/1638] t=32 m=5000 w=0 | elapsed=6926s eta=42399s
  [231/1638] t=32 m=7000 w=0 | elapsed=6957s eta=42374s
  [232/1638] t=32 m=10000 w=0 | elapsed=6987s eta=42343s
  [233/1638] t=32 m=20000 w=0 | elapsed=7017s eta=42312s
  [234/1638] t=32 m=50000 w=0 | elapsed=7047s eta=42282s
--- w=100ns, rep=1/3 ---
  [235/1638] t=8 m=0 w=100 | elapsed=7077s eta=42251s
  [236/1638] t=8 m=10 w=100 | elapsed=7107s eta=42220s
  [237/1638] t=8 m=20 w=100 | elapsed=7137s eta=42189s
  [238/1638] t=8 m=30 w=100 | elapsed=7167s eta=42158s
  [239/1638] t=8 m=40 w=100 | elapsed=7198s eta=42133s
  [240/1638] t=8 m=50 w=100 | elapsed=7228s eta=42103s
  [241/1638] t=8 m=60 w=100 | elapsed=7258s eta=42072s
  [242/1638] t=8 m=70 w=100 | elapsed=7288s eta=42041s
  [243/1638] t=8 m=80 w=100 | elapsed=7318s eta=42010s
  [244/1638] t=8 m=90 w=100 | elapsed=7348s eta=41979s
  [245/1638] t=8 m=100 w=100 | elapsed=7378s eta=41949s
  [246/1638] t=8 m=150 w=100 | elapsed=7408s eta=41918s
  [247/1638] t=8 m=200 w=100 | elapsed=7438s eta=41887s
  [248/1638] t=8 m=250 w=100 | elapsed=7468s eta=41856s
  [249/1638] t=8 m=300 w=100 | elapsed=7499s eta=41831s
