=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: broadwell_xl170) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [1/1638] SKIP t=8 m=0 w=0
  [2/1638] SKIP t=8 m=10 w=0
  [3/1638] SKIP t=8 m=20 w=0
  [4/1638] SKIP t=8 m=30 w=0
  [5/1638] SKIP t=8 m=40 w=0
  [703/1638] t=8 m=0 w=500 | elapsed=21015s eta=28150s
  [704/1638] t=8 m=10 w=500 | elapsed=21045s eta=28120s
  [705/1638] t=8 m=20 w=500 | elapsed=21075s eta=28089s
  [706/1638] t=8 m=30 w=500 | elapsed=21105s eta=28059s
  [707/1638] t=8 m=40 w=500 | elapsed=21135s eta=28029s
  [708/1638] t=8 m=50 w=500 | elapsed=21166s eta=28000s
  [709/1638] t=8 m=60 w=500 | elapsed=21196s eta=27970s
  [710/1638] t=8 m=70 w=500 | elapsed=21226s eta=27940s
  [711/1638] t=8 m=80 w=500 | elapsed=21256s eta=27909s
  [712/1638] t=8 m=90 w=500 | elapsed=21286s eta=27879s
  [713/1638] t=8 m=100 w=500 | elapsed=21316s eta=27849s
  [714/1638] t=8 m=150 w=500 | elapsed=21346s eta=27819s
  [715/1638] t=8 m=200 w=500 | elapsed=21376s eta=27788s
  [716/1638] t=8 m=250 w=500 | elapsed=21406s eta=27758s
  [717/1638] t=8 m=300 w=500 | elapsed=21437s eta=27729s
  [718/1638] t=8 m=400 w=500 | elapsed=21467s eta=27699s
  [719/1638] t=8 m=500 w=500 | elapsed=21497s eta=27669s
  [720/1638] t=8 m=700 w=500 | elapsed=21527s eta=27638s
  [721/1638] t=8 m=1000 w=500 | elapsed=21557s eta=27608s
  [722/1638] t=8 m=2000 w=500 | elapsed=21587s eta=27578s
  [723/1638] t=8 m=3000 w=500 | elapsed=21617s eta=27548s
  [724/1638] t=8 m=5000 w=500 | elapsed=21647s eta=27517s
  [725/1638] t=8 m=7000 w=500 | elapsed=21677s eta=27487s
  [726/1638] t=8 m=10000 w=500 | elapsed=21707s eta=27457s
  [727/1638] t=8 m=20000 w=500 | elapsed=21738s eta=27428s
  [728/1638] t=8 m=50000 w=500 | elapsed=21768s eta=27398s
  [729/1638] t=16 m=0 w=500 | elapsed=21798s eta=27367s
  [730/1638] t=16 m=10 w=500 | elapsed=21828s eta=27337s
  [731/1638] t=16 m=20 w=500 | elapsed=21858s eta=27307s
  [732/1638] t=16 m=30 w=500 | elapsed=21888s eta=27277s
  [733/1638] t=16 m=40 w=500 | elapsed=21918s eta=27246s
  [734/1638] t=16 m=50 w=500 | elapsed=21948s eta=27216s
  [735/1638] t=16 m=60 w=500 | elapsed=21978s eta=27186s
  [736/1638] t=16 m=70 w=500 | elapsed=22009s eta=27157s
  [737/1638] t=16 m=80 w=500 | elapsed=22039s eta=27127s
  [738/1638] t=16 m=90 w=500 | elapsed=22069s eta=27096s
  [739/1638] t=16 m=100 w=500 | elapsed=22099s eta=27066s
  [740/1638] t=16 m=150 w=500 | elapsed=22129s eta=27036s
  [741/1638] t=16 m=200 w=500 | elapsed=22159s eta=27006s
  [742/1638] t=16 m=250 w=500 | elapsed=22189s eta=26976s
  [743/1638] t=16 m=300 w=500 | elapsed=22219s eta=26945s
  [744/1638] t=16 m=400 w=500 | elapsed=22249s eta=26915s
  [745/1638] t=16 m=500 w=500 | elapsed=22280s eta=26886s
  [746/1638] t=16 m=700 w=500 | elapsed=22310s eta=26856s
  [747/1638] t=16 m=1000 w=500 | elapsed=22340s eta=26826s
  [748/1638] t=16 m=2000 w=500 | elapsed=22370s eta=26795s
  [749/1638] t=16 m=3000 w=500 | elapsed=22400s eta=26765s
  [750/1638] t=16 m=5000 w=500 | elapsed=22430s eta=26735s
  [751/1638] t=16 m=7000 w=500 | elapsed=22460s eta=26705s
  [752/1638] t=16 m=10000 w=500 | elapsed=22490s eta=26674s
  [753/1638] t=16 m=20000 w=500 | elapsed=22520s eta=26644s
  [754/1638] t=16 m=50000 w=500 | elapsed=22550s eta=26614s
  [755/1638] t=32 m=0 w=500 | elapsed=22581s eta=26585s
  [756/1638] t=32 m=10 w=500 | elapsed=22611s eta=26555s
  [757/1638] t=32 m=20 w=500 | elapsed=22641s eta=26524s
  [758/1638] t=32 m=30 w=500 | elapsed=22671s eta=26494s
  [759/1638] t=32 m=40 w=500 | elapsed=22701s eta=26464s
  [760/1638] t=32 m=50 w=500 | elapsed=22731s eta=26434s
  [761/1638] t=32 m=60 w=500 | elapsed=22761s eta=26403s
  [762/1638] t=32 m=70 w=500 | elapsed=22791s eta=26373s
  [763/1638] t=32 m=80 w=500 | elapsed=22821s eta=26343s
  [764/1638] t=32 m=90 w=500 | elapsed=22852s eta=26314s
  [765/1638] t=32 m=100 w=500 | elapsed=22882s eta=26284s
  [766/1638] t=32 m=150 w=500 | elapsed=22912s eta=26253s
  [767/1638] t=32 m=200 w=500 | elapsed=22942s eta=26223s
  [768/1638] t=32 m=250 w=500 | elapsed=22972s eta=26193s
  [769/1638] t=32 m=300 w=500 | elapsed=23002s eta=26163s
  [770/1638] t=32 m=400 w=500 | elapsed=23032s eta=26133s
  [771/1638] t=32 m=500 w=500 | elapsed=23062s eta=26102s
  [772/1638] t=32 m=700 w=500 | elapsed=23092s eta=26072s
  [773/1638] t=32 m=1000 w=500 | elapsed=23123s eta=26043s
  [774/1638] t=32 m=2000 w=500 | elapsed=23153s eta=26013s
  [775/1638] t=32 m=3000 w=500 | elapsed=23183s eta=25983s
  [776/1638] t=32 m=5000 w=500 | elapsed=23213s eta=25952s
  [777/1638] t=32 m=7000 w=500 | elapsed=23243s eta=25922s
  [778/1638] t=32 m=10000 w=500 | elapsed=23273s eta=25892s
  [779/1638] t=32 m=20000 w=500 | elapsed=23303s eta=25862s
  [780/1638] t=32 m=50000 w=500 | elapsed=23333s eta=25831s
--- w=500ns, rep=2/3 ---
  [781/1638] t=8 m=0 w=500 | elapsed=23363s eta=25801s
  [782/1638] t=8 m=10 w=500 | elapsed=23394s eta=25772s
  [783/1638] t=8 m=20 w=500 | elapsed=23424s eta=25742s
  [784/1638] t=8 m=30 w=500 | elapsed=23454s eta=25712s
  [785/1638] t=8 m=40 w=500 | elapsed=23484s eta=25681s
  [786/1638] t=8 m=50 w=500 | elapsed=23514s eta=25651s
  [787/1638] t=8 m=60 w=500 | elapsed=23544s eta=25621s
  [788/1638] t=8 m=70 w=500 | elapsed=23574s eta=25591s
  [789/1638] t=8 m=80 w=500 | elapsed=23604s eta=25560s
  [790/1638] t=8 m=90 w=500 | elapsed=23634s eta=25530s
  [791/1638] t=8 m=100 w=500 | elapsed=23664s eta=25500s
  [792/1638] t=8 m=150 w=500 | elapsed=23695s eta=25471s
  [793/1638] t=8 m=200 w=500 | elapsed=23725s eta=25441s
  [794/1638] t=8 m=250 w=500 | elapsed=23755s eta=25410s
  [795/1638] t=8 m=300 w=500 | elapsed=23785s eta=25380s
  [796/1638] t=8 m=400 w=500 | elapsed=23815s eta=25350s
  [797/1638] t=8 m=500 w=500 | elapsed=23845s eta=25320s
  [798/1638] t=8 m=700 w=500 | elapsed=23875s eta=25290s
  [799/1638] t=8 m=1000 w=500 | elapsed=23905s eta=25259s
  [800/1638] t=8 m=2000 w=500 | elapsed=23935s eta=25229s
  [801/1638] t=8 m=3000 w=500 | elapsed=23966s eta=25200s
  [802/1638] t=8 m=5000 w=500 | elapsed=23996s eta=25170s
  [803/1638] t=8 m=7000 w=500 | elapsed=24026s eta=25139s
  [804/1638] t=8 m=10000 w=500 | elapsed=24056s eta=25109s
  [805/1638] t=8 m=20000 w=500 | elapsed=24086s eta=25079s
  [806/1638] t=8 m=50000 w=500 | elapsed=24116s eta=25049s
  [807/1638] t=16 m=0 w=500 | elapsed=24146s eta=25019s
  [808/1638] t=16 m=10 w=500 | elapsed=24176s eta=24988s
  [809/1638] t=16 m=20 w=500 | elapsed=24206s eta=24958s
  [810/1638] t=16 m=30 w=500 | elapsed=24236s eta=24928s
  [811/1638] t=16 m=40 w=500 | elapsed=24267s eta=24899s
  [812/1638] t=16 m=50 w=500 | elapsed=24297s eta=24869s
  [813/1638] t=16 m=60 w=500 | elapsed=24327s eta=24838s
  [814/1638] t=16 m=70 w=500 | elapsed=24357s eta=24808s
  [815/1638] t=16 m=80 w=500 | elapsed=24387s eta=24778s
  [816/1638] t=16 m=90 w=500 | elapsed=24417s eta=24748s
  [817/1638] t=16 m=100 w=500 | elapsed=24447s eta=24717s
  [818/1638] t=16 m=150 w=500 | elapsed=24477s eta=24687s
  [819/1638] t=16 m=200 w=500 | elapsed=24507s eta=24657s
  [820/1638] t=16 m=250 w=500 | elapsed=24538s eta=24628s
  [821/1638] t=16 m=300 w=500 | elapsed=24568s eta=24598s
  [822/1638] t=16 m=400 w=500 | elapsed=24598s eta=24567s
  [823/1638] t=16 m=500 w=500 | elapsed=24628s eta=24537s
  [824/1638] t=16 m=700 w=500 | elapsed=24658s eta=24507s
  [825/1638] t=16 m=1000 w=500 | elapsed=24688s eta=24477s
  [826/1638] t=16 m=2000 w=500 | elapsed=24718s eta=24447s
  [827/1638] t=16 m=3000 w=500 | elapsed=24748s eta=24416s
  [828/1638] t=16 m=5000 w=500 | elapsed=24778s eta=24386s
  [829/1638] t=16 m=7000 w=500 | elapsed=24809s eta=24357s
  [830/1638] t=16 m=10000 w=500 | elapsed=24839s eta=24327s
  [831/1638] t=16 m=20000 w=500 | elapsed=24869s eta=24296s
  [832/1638] t=16 m=50000 w=500 | elapsed=24899s eta=24266s
  [833/1638] t=32 m=0 w=500 | elapsed=24929s eta=24236s
  [834/1638] t=32 m=10 w=500 | elapsed=24959s eta=24206s
  [835/1638] t=32 m=20 w=500 | elapsed=24989s eta=24176s
  [836/1638] t=32 m=30 w=500 | elapsed=25019s eta=24145s
  [837/1638] t=32 m=40 w=500 | elapsed=25049s eta=24115s
  [838/1638] t=32 m=50 w=500 | elapsed=25079s eta=24085s
  [839/1638] t=32 m=60 w=500 | elapsed=25110s eta=24056s
  [840/1638] t=32 m=70 w=500 | elapsed=25140s eta=24026s
  [841/1638] t=32 m=80 w=500 | elapsed=25170s eta=23995s
  [842/1638] t=32 m=90 w=500 | elapsed=25200s eta=23965s
  [843/1638] t=32 m=100 w=500 | elapsed=25230s eta=23935s
  [844/1638] t=32 m=150 w=500 | elapsed=25260s eta=23905s
  [845/1638] t=32 m=200 w=500 | elapsed=25290s eta=23874s
  [846/1638] t=32 m=250 w=500 | elapsed=25320s eta=23844s
  [847/1638] t=32 m=300 w=500 | elapsed=25350s eta=23814s
  [848/1638] t=32 m=400 w=500 | elapsed=25381s eta=23785s
  [849/1638] t=32 m=500 w=500 | elapsed=25411s eta=23755s
  [850/1638] t=32 m=700 w=500 | elapsed=25441s eta=23724s
  [851/1638] t=32 m=1000 w=500 | elapsed=25471s eta=23694s
  [852/1638] t=32 m=2000 w=500 | elapsed=25501s eta=23664s
  [853/1638] t=32 m=3000 w=500 | elapsed=25531s eta=23634s
  [854/1638] t=32 m=5000 w=500 | elapsed=25561s eta=23604s
  [855/1638] t=32 m=7000 w=500 | elapsed=25591s eta=23573s
  [856/1638] t=32 m=10000 w=500 | elapsed=25621s eta=23543s
  [857/1638] t=32 m=20000 w=500 | elapsed=25652s eta=23514s
  [858/1638] t=32 m=50000 w=500 | elapsed=25682s eta=23484s
--- w=500ns, rep=3/3 ---
  [859/1638] t=8 m=0 w=500 | elapsed=25712s eta=23453s
  [860/1638] t=8 m=10 w=500 | elapsed=25742s eta=23423s
  [861/1638] t=8 m=20 w=500 | elapsed=25772s eta=23393s
  [862/1638] t=8 m=30 w=500 | elapsed=25802s eta=23363s
  [863/1638] t=8 m=40 w=500 | elapsed=25832s eta=23333s
  [864/1638] t=8 m=50 w=500 | elapsed=25862s eta=23302s
  [865/1638] t=8 m=60 w=500 | elapsed=25892s eta=23272s
  [866/1638] t=8 m=70 w=500 | elapsed=25923s eta=23243s
  [867/1638] t=8 m=80 w=500 | elapsed=25953s eta=23213s
  [868/1638] t=8 m=90 w=500 | elapsed=25983s eta=23182s
  [869/1638] t=8 m=100 w=500 | elapsed=26013s eta=23152s
  [870/1638] t=8 m=150 w=500 | elapsed=26043s eta=23122s
  [871/1638] t=8 m=200 w=500 | elapsed=26073s eta=23092s
  [872/1638] t=8 m=250 w=500 | elapsed=26103s eta=23062s
  [873/1638] t=8 m=300 w=500 | elapsed=26133s eta=23031s
  [874/1638] t=8 m=400 w=500 | elapsed=26163s eta=23001s
  [875/1638] t=8 m=500 w=500 | elapsed=26193s eta=22971s
  [876/1638] t=8 m=700 w=500 | elapsed=26224s eta=22942s
  [877/1638] t=8 m=1000 w=500 | elapsed=26254s eta=22912s
  [878/1638] t=8 m=2000 w=500 | elapsed=26284s eta=22881s
  [879/1638] t=8 m=3000 w=500 | elapsed=26314s eta=22851s
  [880/1638] t=8 m=5000 w=500 | elapsed=26344s eta=22821s
  [881/1638] t=8 m=7000 w=500 | elapsed=26374s eta=22791s
  [882/1638] t=8 m=10000 w=500 | elapsed=26404s eta=22761s
  [883/1638] t=8 m=20000 w=500 | elapsed=26434s eta=22730s
  [884/1638] t=8 m=50000 w=500 | elapsed=26464s eta=22700s
  [885/1638] t=16 m=0 w=500 | elapsed=26495s eta=22671s
  [886/1638] t=16 m=10 w=500 | elapsed=26525s eta=22641s
  [887/1638] t=16 m=20 w=500 | elapsed=26555s eta=22610s
  [888/1638] t=16 m=30 w=500 | elapsed=26585s eta=22580s
  [889/1638] t=16 m=40 w=500 | elapsed=26615s eta=22550s
  [890/1638] t=16 m=50 w=500 | elapsed=26645s eta=22520s
  [891/1638] t=16 m=60 w=500 | elapsed=26675s eta=22490s
  [892/1638] t=16 m=70 w=500 | elapsed=26705s eta=22459s
  [893/1638] t=16 m=80 w=500 | elapsed=26735s eta=22429s
  [894/1638] t=16 m=90 w=500 | elapsed=26765s eta=22399s
  [895/1638] t=16 m=100 w=500 | elapsed=26796s eta=22370s
  [896/1638] t=16 m=150 w=500 | elapsed=26826s eta=22339s
  [897/1638] t=16 m=200 w=500 | elapsed=26856s eta=22309s
  [898/1638] t=16 m=250 w=500 | elapsed=26886s eta=22279s
  [899/1638] t=16 m=300 w=500 | elapsed=26916s eta=22249s
  [900/1638] t=16 m=400 w=500 | elapsed=26946s eta=22219s
  [901/1638] t=16 m=500 w=500 | elapsed=26976s eta=22188s
  [902/1638] t=16 m=700 w=500 | elapsed=27006s eta=22158s
  [903/1638] t=16 m=1000 w=500 | elapsed=27036s eta=22128s
  [904/1638] t=16 m=2000 w=500 | elapsed=27067s eta=22099s
  [905/1638] t=16 m=3000 w=500 | elapsed=27097s eta=22069s
  [906/1638] t=16 m=5000 w=500 | elapsed=27127s eta=22038s
  [907/1638] t=16 m=7000 w=500 | elapsed=27157s eta=22008s
  [908/1638] t=16 m=10000 w=500 | elapsed=27187s eta=21978s
  [909/1638] t=16 m=20000 w=500 | elapsed=27217s eta=21948s
  [910/1638] t=16 m=50000 w=500 | elapsed=27247s eta=21918s
  [911/1638] t=32 m=0 w=500 | elapsed=27277s eta=21887s
  [912/1638] t=32 m=10 w=500 | elapsed=27307s eta=21857s
  [913/1638] t=32 m=20 w=500 | elapsed=27338s eta=21828s
  [914/1638] t=32 m=30 w=500 | elapsed=27368s eta=21798s
  [915/1638] t=32 m=40 w=500 | elapsed=27398s eta=21767s
  [916/1638] t=32 m=50 w=500 | elapsed=27428s eta=21737s
  [917/1638] t=32 m=60 w=500 | elapsed=27458s eta=21707s
  [918/1638] t=32 m=70 w=500 | elapsed=27488s eta=21677s
  [919/1638] t=32 m=80 w=500 | elapsed=27518s eta=21647s
  [920/1638] t=32 m=90 w=500 | elapsed=27548s eta=21616s
  [921/1638] t=32 m=100 w=500 | elapsed=27578s eta=21586s
  [922/1638] t=32 m=150 w=500 | elapsed=27608s eta=21556s
  [923/1638] t=32 m=200 w=500 | elapsed=27639s eta=21527s
  [924/1638] t=32 m=250 w=500 | elapsed=27669s eta=21496s
  [925/1638] t=32 m=300 w=500 | elapsed=27699s eta=21466s
  [926/1638] t=32 m=400 w=500 | elapsed=27729s eta=21436s
  [927/1638] t=32 m=500 w=500 | elapsed=27759s eta=21406s
  [928/1638] t=32 m=700 w=500 | elapsed=27789s eta=21376s
  [929/1638] t=32 m=1000 w=500 | elapsed=27819s eta=21345s
  [930/1638] t=32 m=2000 w=500 | elapsed=27849s eta=21315s
  [931/1638] t=32 m=3000 w=500 | elapsed=27879s eta=21285s
  [932/1638] t=32 m=5000 w=500 | elapsed=27910s eta=21256s
  [933/1638] t=32 m=7000 w=500 | elapsed=27940s eta=21225s
  [934/1638] t=32 m=10000 w=500 | elapsed=27970s eta=21195s
  [935/1638] t=32 m=20000 w=500 | elapsed=28000s eta=21165s
  [936/1638] t=32 m=50000 w=500 | elapsed=28030s eta=21135s
--- w=1000ns, rep=1/3 ---
  [937/1638] t=8 m=0 w=1000 | elapsed=28060s eta=21105s
  [938/1638] t=8 m=10 w=1000 | elapsed=28090s eta=21075s
  [939/1638] t=8 m=20 w=1000 | elapsed=28120s eta=21044s
  [940/1638] t=8 m=30 w=1000 | elapsed=28150s eta=21014s
  [941/1638] t=8 m=40 w=1000 | elapsed=28181s eta=20985s
  [942/1638] t=8 m=50 w=1000 | elapsed=28211s eta=20955s
  [943/1638] t=8 m=60 w=1000 | elapsed=28241s eta=20924s
  [944/1638] t=8 m=70 w=1000 | elapsed=28271s eta=20894s
  [945/1638] t=8 m=80 w=1000 | elapsed=28301s eta=20864s
  [946/1638] t=8 m=90 w=1000 | elapsed=28331s eta=20834s
  [947/1638] t=8 m=100 w=1000 | elapsed=28361s eta=20804s
  [948/1638] t=8 m=150 w=1000 | elapsed=28391s eta=20773s
  [949/1638] t=8 m=200 w=1000 | elapsed=28421s eta=20743s
  [950/1638] t=8 m=250 w=1000 | elapsed=28452s eta=20714s
  [951/1638] t=8 m=300 w=1000 | elapsed=28482s eta=20684s
  [952/1638] t=8 m=400 w=1000 | elapsed=28512s eta=20653s
  [953/1638] t=8 m=500 w=1000 | elapsed=28542s eta=20623s
  [954/1638] t=8 m=700 w=1000 | elapsed=28572s eta=20593s
  [955/1638] t=8 m=1000 w=1000 | elapsed=28602s eta=20563s
  [956/1638] t=8 m=2000 w=1000 | elapsed=28632s eta=20533s
  [957/1638] t=8 m=3000 w=1000 | elapsed=28662s eta=20502s
  [958/1638] t=8 m=5000 w=1000 | elapsed=28692s eta=20472s
  [959/1638] t=8 m=7000 w=1000 | elapsed=28722s eta=20442s
  [960/1638] t=8 m=10000 w=1000 | elapsed=28753s eta=20413s
  [961/1638] t=8 m=20000 w=1000 | elapsed=28783s eta=20382s
  [962/1638] t=8 m=50000 w=1000 | elapsed=28813s eta=20352s
  [963/1638] t=16 m=0 w=1000 | elapsed=28843s eta=20322s
  [964/1638] t=16 m=10 w=1000 | elapsed=28873s eta=20292s
  [965/1638] t=16 m=20 w=1000 | elapsed=28903s eta=20262s
  [966/1638] t=16 m=30 w=1000 | elapsed=28933s eta=20232s
  [967/1638] t=16 m=40 w=1000 | elapsed=28963s eta=20201s
  [968/1638] t=16 m=50 w=1000 | elapsed=28993s eta=20171s
  [969/1638] t=16 m=60 w=1000 | elapsed=29024s eta=20142s
  [970/1638] t=16 m=70 w=1000 | elapsed=29054s eta=20111s
  [971/1638] t=16 m=80 w=1000 | elapsed=29084s eta=20081s
  [972/1638] t=16 m=90 w=1000 | elapsed=29114s eta=20051s
  [973/1638] t=16 m=100 w=1000 | elapsed=29144s eta=20021s
  [974/1638] t=16 m=150 w=1000 | elapsed=29174s eta=19991s
  [975/1638] t=16 m=200 w=1000 | elapsed=29204s eta=19961s
  [976/1638] t=16 m=250 w=1000 | elapsed=29234s eta=19930s
  [977/1638] t=16 m=300 w=1000 | elapsed=29264s eta=19900s
  [978/1638] t=16 m=400 w=1000 | elapsed=29294s eta=19870s
  [979/1638] t=16 m=500 w=1000 | elapsed=29325s eta=19841s
  [980/1638] t=16 m=700 w=1000 | elapsed=29355s eta=19810s
  [981/1638] t=16 m=1000 w=1000 | elapsed=29385s eta=19780s
  [982/1638] t=16 m=2000 w=1000 | elapsed=29415s eta=19750s
  [983/1638] t=16 m=3000 w=1000 | elapsed=29445s eta=19720s
  [984/1638] t=16 m=5000 w=1000 | elapsed=29475s eta=19690s
  [985/1638] t=16 m=7000 w=1000 | elapsed=29505s eta=19659s
  [986/1638] t=16 m=10000 w=1000 | elapsed=29535s eta=19629s
  [987/1638] t=16 m=20000 w=1000 | elapsed=29565s eta=19599s
  [988/1638] t=16 m=50000 w=1000 | elapsed=29596s eta=19570s
  [989/1638] t=32 m=0 w=1000 | elapsed=29626s eta=19539s
  [990/1638] t=32 m=10 w=1000 | elapsed=29656s eta=19509s
  [991/1638] t=32 m=20 w=1000 | elapsed=29686s eta=19479s
  [992/1638] t=32 m=30 w=1000 | elapsed=29716s eta=19449s
  [993/1638] t=32 m=40 w=1000 | elapsed=29746s eta=19419s
  [994/1638] t=32 m=50 w=1000 | elapsed=29776s eta=19389s
  [995/1638] t=32 m=60 w=1000 | elapsed=29806s eta=19358s
  [996/1638] t=32 m=70 w=1000 | elapsed=29836s eta=19328s
  [997/1638] t=32 m=80 w=1000 | elapsed=29867s eta=19299s
  [998/1638] t=32 m=90 w=1000 | elapsed=29897s eta=19268s
  [999/1638] t=32 m=100 w=1000 | elapsed=29927s eta=19238s
  [1000/1638] t=32 m=150 w=1000 | elapsed=29957s eta=19208s
  [1001/1638] t=32 m=200 w=1000 | elapsed=29987s eta=19178s
  [1002/1638] t=32 m=250 w=1000 | elapsed=30017s eta=19148s
  [1003/1638] t=32 m=300 w=1000 | elapsed=30047s eta=19118s
  [1004/1638] t=32 m=400 w=1000 | elapsed=30077s eta=19087s
  [1005/1638] t=32 m=500 w=1000 | elapsed=30107s eta=19057s
  [1006/1638] t=32 m=700 w=1000 | elapsed=30137s eta=19027s
  [1007/1638] t=32 m=1000 w=1000 | elapsed=30168s eta=18998s
  [1008/1638] t=32 m=2000 w=1000 | elapsed=30198s eta=18967s
  [1009/1638] t=32 m=3000 w=1000 | elapsed=30228s eta=18937s
  [1010/1638] t=32 m=5000 w=1000 | elapsed=30258s eta=18907s
  [1011/1638] t=32 m=7000 w=1000 | elapsed=30288s eta=18877s
  [1012/1638] t=32 m=10000 w=1000 | elapsed=30318s eta=18847s
  [1013/1638] t=32 m=20000 w=1000 | elapsed=30348s eta=18816s
  [1014/1638] t=32 m=50000 w=1000 | elapsed=30378s eta=18786s
--- w=1000ns, rep=2/3 ---
  [1015/1638] t=8 m=0 w=1000 | elapsed=30409s eta=18757s
  [1016/1638] t=8 m=10 w=1000 | elapsed=30439s eta=18727s
  [1017/1638] t=8 m=20 w=1000 | elapsed=30469s eta=18696s
  [1018/1638] t=8 m=30 w=1000 | elapsed=30499s eta=18666s
  [1019/1638] t=8 m=40 w=1000 | elapsed=30529s eta=18636s
  [1020/1638] t=8 m=50 w=1000 | elapsed=30559s eta=18606s
  [1021/1638] t=8 m=60 w=1000 | elapsed=30589s eta=18576s
  [1022/1638] t=8 m=70 w=1000 | elapsed=30619s eta=18546s
  [1023/1638] t=8 m=80 w=1000 | elapsed=30649s eta=18515s
  [1024/1638] t=8 m=90 w=1000 | elapsed=30679s eta=18485s
  [1025/1638] t=8 m=100 w=1000 | elapsed=30710s eta=18456s
  [1026/1638] t=8 m=150 w=1000 | elapsed=30740s eta=18425s
  [1027/1638] t=8 m=200 w=1000 | elapsed=30770s eta=18395s
  [1028/1638] t=8 m=250 w=1000 | elapsed=30800s eta=18365s
  [1029/1638] t=8 m=300 w=1000 | elapsed=30830s eta=18335s
  [1030/1638] t=8 m=400 w=1000 | elapsed=30860s eta=18305s
  [1031/1638] t=8 m=500 w=1000 | elapsed=30890s eta=18275s
  [1032/1638] t=8 m=700 w=1000 | elapsed=30920s eta=18244s
  [1033/1638] t=8 m=1000 w=1000 | elapsed=30950s eta=18214s
  [1034/1638] t=8 m=2000 w=1000 | elapsed=30981s eta=18185s
  [1035/1638] t=8 m=3000 w=1000 | elapsed=31011s eta=18154s
  [1036/1638] t=8 m=5000 w=1000 | elapsed=31041s eta=18124s
  [1037/1638] t=8 m=7000 w=1000 | elapsed=31071s eta=18094s
  [1038/1638] t=8 m=10000 w=1000 | elapsed=31101s eta=18064s
  [1039/1638] t=8 m=20000 w=1000 | elapsed=31131s eta=18034s
  [1040/1638] t=8 m=50000 w=1000 | elapsed=31161s eta=18004s
  [1041/1638] t=16 m=0 w=1000 | elapsed=31191s eta=17973s
  [1042/1638] t=16 m=10 w=1000 | elapsed=31221s eta=17943s
  [1043/1638] t=16 m=20 w=1000 | elapsed=31252s eta=17914s
  [1044/1638] t=16 m=30 w=1000 | elapsed=31282s eta=17884s
  [1045/1638] t=16 m=40 w=1000 | elapsed=31312s eta=17853s
  [1046/1638] t=16 m=50 w=1000 | elapsed=31342s eta=17823s
  [1047/1638] t=16 m=60 w=1000 | elapsed=31372s eta=17793s
  [1048/1638] t=16 m=70 w=1000 | elapsed=31402s eta=17763s
  [1049/1638] t=16 m=80 w=1000 | elapsed=31432s eta=17733s
  [1050/1638] t=16 m=90 w=1000 | elapsed=31462s eta=17703s
  [1051/1638] t=16 m=100 w=1000 | elapsed=31492s eta=17672s
  [1052/1638] t=16 m=150 w=1000 | elapsed=31522s eta=17642s
  [1053/1638] t=16 m=200 w=1000 | elapsed=31553s eta=17613s
  [1054/1638] t=16 m=250 w=1000 | elapsed=31583s eta=17582s
  [1055/1638] t=16 m=300 w=1000 | elapsed=31613s eta=17552s
  [1056/1638] t=16 m=400 w=1000 | elapsed=31643s eta=17522s
  [1057/1638] t=16 m=500 w=1000 | elapsed=31673s eta=17492s
  [1058/1638] t=16 m=700 w=1000 | elapsed=31703s eta=17462s
  [1059/1638] t=16 m=1000 w=1000 | elapsed=31733s eta=17432s
  [1060/1638] t=16 m=2000 w=1000 | elapsed=31763s eta=17401s
  [1061/1638] t=16 m=3000 w=1000 | elapsed=31793s eta=17371s
  [1062/1638] t=16 m=5000 w=1000 | elapsed=31824s eta=17342s
  [1063/1638] t=16 m=7000 w=1000 | elapsed=31854s eta=17311s
  [1064/1638] t=16 m=10000 w=1000 | elapsed=31884s eta=17281s
  [1065/1638] t=16 m=20000 w=1000 | elapsed=31914s eta=17251s
  [1066/1638] t=16 m=50000 w=1000 | elapsed=31944s eta=17221s
  [1067/1638] t=32 m=0 w=1000 | elapsed=31974s eta=17191s
  [1068/1638] t=32 m=10 w=1000 | elapsed=32004s eta=17161s
  [1069/1638] t=32 m=20 w=1000 | elapsed=32034s eta=17130s
  [1070/1638] t=32 m=30 w=1000 | elapsed=32064s eta=17100s
  [1071/1638] t=32 m=40 w=1000 | elapsed=32095s eta=17071s
  [1072/1638] t=32 m=50 w=1000 | elapsed=32125s eta=17041s
  [1073/1638] t=32 m=60 w=1000 | elapsed=32155s eta=17010s
  [1074/1638] t=32 m=70 w=1000 | elapsed=32185s eta=16980s
  [1075/1638] t=32 m=80 w=1000 | elapsed=32215s eta=16950s
