=== CPU Setup ===
Setting cpu: 0
Setting cpu: 1
Setting cpu: 2
Setting cpu: 3
Setting cpu: 4
Setting cpu: 5
Setting cpu: 6
Setting cpu: 7
Setting cpu: 8
Setting cpu: 9
Setting cpu: 10
Setting cpu: 11
Setting cpu: 12
Setting cpu: 13
Setting cpu: 14
Setting cpu: 15
Setting cpu: 16
Setting cpu: 17
Setting cpu: 18
Setting cpu: 19
  governor: performance
  Intel turbo: disabled

=== Experiment (Server: broadwell_xl170) ===
Reps: 3, Threads: 8 16 32, Multipliers: 0 10 20 30 40 50 60 70 80 90 100 150 200 250 300 400 500 700 1000 2000 3000 5000 7000 10000 20000 50000, Work(ns): 0 100 200 500 1000 2000 5000
Total runs: 1638 (est. ~819 min)

--- w=0ns, rep=1/3 ---
  [1/1638] SKIP t=8 m=0 w=0
  [2/1638] SKIP t=8 m=10 w=0
  [3/1638] SKIP t=8 m=20 w=0
  [4/1638] SKIP t=8 m=30 w=0
  [5/1638] SKIP t=8 m=40 w=0
  [135/1638] t=32 m=40 w=0 | elapsed=3914s eta=45251s
  [136/1638] t=32 m=50 w=0 | elapsed=3944s eta=45220s
  [137/1638] t=32 m=60 w=0 | elapsed=3974s eta=45189s
  [138/1638] t=32 m=70 w=0 | elapsed=4004s eta=45157s
  [139/1638] t=32 m=80 w=0 | elapsed=4034s eta=45126s
  [140/1638] t=32 m=90 w=0 | elapsed=4064s eta=45095s
  [141/1638] t=32 m=100 w=0 | elapsed=4095s eta=45075s
  [142/1638] t=32 m=150 w=0 | elapsed=4125s eta=45043s
  [143/1638] t=32 m=200 w=0 | elapsed=4155s eta=45012s
  [144/1638] t=32 m=250 w=0 | elapsed=4185s eta=44981s
  [145/1638] t=32 m=300 w=0 | elapsed=4215s eta=44949s
  [146/1638] t=32 m=400 w=0 | elapsed=4245s eta=44918s
  [147/1638] t=32 m=500 w=0 | elapsed=4275s eta=44887s
  [148/1638] t=32 m=700 w=0 | elapsed=4305s eta=44856s
  [149/1638] t=32 m=1000 w=0 | elapsed=4335s eta=44825s
  [150/1638] t=32 m=2000 w=0 | elapsed=4366s eta=44804s
  [151/1638] t=32 m=3000 w=0 | elapsed=4396s eta=44772s
  [152/1638] t=32 m=5000 w=0 | elapsed=4426s eta=44741s
  [153/1638] t=32 m=7000 w=0 | elapsed=4456s eta=44710s
  [154/1638] t=32 m=10000 w=0 | elapsed=4486s eta=44679s
  [155/1638] t=32 m=20000 w=0 | elapsed=4516s eta=44648s
  [156/1638] t=32 m=50000 w=0 | elapsed=4546s eta=44617s
--- w=0ns, rep=3/3 ---
  [157/1638] t=8 m=0 w=0 | elapsed=4576s eta=44585s
  [158/1638] t=8 m=10 w=0 | elapsed=4606s eta=44554s
  [159/1638] t=8 m=20 w=0 | elapsed=4637s eta=44533s
  [160/1638] t=8 m=30 w=0 | elapsed=4667s eta=44502s
  [161/1638] t=8 m=40 w=0 | elapsed=4697s eta=44470s
  [162/1638] t=8 m=50 w=0 | elapsed=4727s eta=44439s
  [163/1638] t=8 m=60 w=0 | elapsed=4757s eta=44408s
  [164/1638] t=8 m=70 w=0 | elapsed=4787s eta=44377s
  [165/1638] t=8 m=80 w=0 | elapsed=4817s eta=44346s
  [166/1638] t=8 m=90 w=0 | elapsed=4847s eta=44315s
  [167/1638] t=8 m=100 w=0 | elapsed=4877s eta=44284s
  [168/1638] t=8 m=150 w=0 | elapsed=4907s eta=44253s
  [169/1638] t=8 m=200 w=0 | elapsed=4938s eta=44231s
  [170/1638] t=8 m=250 w=0 | elapsed=4968s eta=44200s
  [171/1638] t=8 m=300 w=0 | elapsed=4998s eta=44169s
  [172/1638] t=8 m=400 w=0 | elapsed=5028s eta=44138s
  [173/1638] t=8 m=500 w=0 | elapsed=5058s eta=44106s
  [174/1638] t=8 m=700 w=0 | elapsed=5088s eta=44075s
  [175/1638] t=8 m=1000 w=0 | elapsed=5118s eta=44044s
  [176/1638] t=8 m=2000 w=0 | elapsed=5148s eta=44013s
  [177/1638] t=8 m=3000 w=0 | elapsed=5178s eta=43982s
  [178/1638] t=8 m=5000 w=0 | elapsed=5209s eta=43960s
  [179/1638] t=8 m=7000 w=0 | elapsed=5239s eta=43929s
  [180/1638] t=8 m=10000 w=0 | elapsed=5269s eta=43898s
  [181/1638] t=8 m=20000 w=0 | elapsed=5299s eta=43867s
  [182/1638] t=8 m=50000 w=0 | elapsed=5329s eta=43836s
  [183/1638] t=16 m=0 w=0 | elapsed=5359s eta=43805s
  [184/1638] t=16 m=10 w=0 | elapsed=5389s eta=43774s
  [185/1638] t=16 m=20 w=0 | elapsed=5419s eta=43743s
  [186/1638] t=16 m=30 w=0 | elapsed=5449s eta=43712s
  [187/1638] t=16 m=40 w=0 | elapsed=5479s eta=43681s
  [188/1638] t=16 m=50 w=0 | elapsed=5510s eta=43658s
  [189/1638] t=16 m=60 w=0 | elapsed=5540s eta=43627s
  [190/1638] t=16 m=70 w=0 | elapsed=5570s eta=43596s
  [191/1638] t=16 m=80 w=0 | elapsed=5600s eta=43565s
  [192/1638] t=16 m=90 w=0 | elapsed=5630s eta=43534s
  [193/1638] t=16 m=100 w=0 | elapsed=5660s eta=43503s
  [194/1638] t=16 m=150 w=0 | elapsed=5690s eta=43472s
  [195/1638] t=16 m=200 w=0 | elapsed=5720s eta=43441s
  [196/1638] t=16 m=250 w=0 | elapsed=5750s eta=43410s
  [197/1638] t=16 m=300 w=0 | elapsed=5781s eta=43387s
  [198/1638] t=16 m=400 w=0 | elapsed=5811s eta=43356s
  [199/1638] t=16 m=500 w=0 | elapsed=5841s eta=43325s
  [200/1638] t=16 m=700 w=0 | elapsed=5871s eta=43294s
  [201/1638] t=16 m=1000 w=0 | elapsed=5901s eta=43263s
  [202/1638] t=16 m=2000 w=0 | elapsed=5931s eta=43233s
  [203/1638] t=16 m=3000 w=0 | elapsed=5961s eta=43202s
  [204/1638] t=16 m=5000 w=0 | elapsed=5991s eta=43171s
  [205/1638] t=16 m=7000 w=0 | elapsed=6021s eta=43140s
  [206/1638] t=16 m=10000 w=0 | elapsed=6052s eta=43116s
  [207/1638] t=16 m=20000 w=0 | elapsed=6082s eta=43085s
  [208/1638] t=16 m=50000 w=0 | elapsed=6112s eta=43054s
  [209/1638] t=32 m=0 w=0 | elapsed=6142s eta=43024s
  [210/1638] t=32 m=10 w=0 | elapsed=6172s eta=42993s
